date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:59:35	22350/22350	---MCZ	200	added ('OK')	text/html	etag:W/%22869c159869962fb4d9a7614b75605750%22	https://branch.co.ke/	C:/Users/MWANGI/Desktop/BRANCH/branch.co.ke/index.html	(from )
00:59:36	204/204	---M--	200	added ('OK')	text/plain	date:Tue,%2007%20May%202019%2018:11:25%20GMT	https://branch.co.ke/robots.txt		(from )
00:59:38	1453/1453	---M--	200	added ('OK')	image/png	date:Tue,%2007%20May%202019%2018:11:25%20GMT	https://branch.co.ke/apple-touch-icon-57x57.png	C:/Users/MWANGI/Desktop/BRANCH/branch.co.ke/apple-touch-icon-57x57.png	(from https://branch.co.ke/)
00:59:41	1471/1471	---M--	200	added ('OK')	image/png	date:Tue,%2007%20May%202019%2018:11:25%20GMT	https://branch.co.ke/apple-touch-icon-60x60.png	C:/Users/MWANGI/Desktop/BRANCH/branch.co.ke/apple-touch-icon-60x60.png	(from https://branch.co.ke/)
00:59:42	1749/1749	---M--	200	added ('OK')	image/png	date:Tue,%2007%20May%202019%2018:11:25%20GMT	https://branch.co.ke/apple-touch-icon-72x72.png	C:/Users/MWANGI/Desktop/BRANCH/branch.co.ke/apple-touch-icon-72x72.png	(from https://branch.co.ke/)
00:59:44	1714/1714	---M--	200	added ('OK')	image/png	date:Tue,%2007%20May%202019%2018:11:25%20GMT	https://branch.co.ke/apple-touch-icon-76x76.png	C:/Users/MWANGI/Desktop/BRANCH/branch.co.ke/apple-touch-icon-76x76.png	(from https://branch.co.ke/)
00:59:45	1516/1516	---M--	200	added ('OK')	image/png	date:Tue,%2007%20May%202019%2018:11:25%20GMT	https://branch.co.ke/favicon-32x32.png	C:/Users/MWANGI/Desktop/BRANCH/branch.co.ke/favicon-32x32.png	(from https://branch.co.ke/)
00:59:46	5752/5752	---M--	200	added ('OK')	image/png	date:Tue,%2007%20May%202019%2018:11:25%20GMT	https://branch.co.ke/favicon-96x96.png	C:/Users/MWANGI/Desktop/BRANCH/branch.co.ke/favicon-96x96.png	(from https://branch.co.ke/)
00:59:47	934/934	---M--	200	added ('OK')	image/png	date:Tue,%2007%20May%202019%2018:11:25%20GMT	https://branch.co.ke/favicon-16x16.png	C:/Users/MWANGI/Desktop/BRANCH/branch.co.ke/favicon-16x16.png	(from https://branch.co.ke/)
00:59:48	201424/201424	---M-Z	200	added ('OK')	text/css	date:Mon,%2003%20Dec%202018%2022:47:23%20GMT	https://d2c5ectx2y1vm9.cloudfront.net/assets/web-779a269a03dc3886f6f94cc2bd9143dcc0cfd3d7ff553188535ef68f74b4e171.css	C:/Users/MWANGI/Desktop/BRANCH/d2c5ectx2y1vm9.cloudfront.net/assets/web-779a269a03dc3886f6f94cc2bd9143dcc0cfd3d7ff553188535ef68f74b4e171.css	(from https://branch.co.ke/)
00:59:51	97163/97163	---M-Z	200	added ('OK')	application/javascript	etag:W/%22573f46fe-17b8b%22	http://code.jquery.com/jquery-1.12.4.min.js	C:/Users/MWANGI/Desktop/BRANCH/code.jquery.com/jquery-1.12.4.min.js	(from https://branch.co.ke/)
00:59:52	97922/97922	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2003%20Dec%202018%2022:47:24%20GMT	https://d2c5ectx2y1vm9.cloudfront.net/assets/jquery-395e36e8b50840dbe9f754bd87c5098de66e33f81061d9452420dbdb9ee760f1.js	C:/Users/MWANGI/Desktop/BRANCH/d2c5ectx2y1vm9.cloudfront.net/assets/jquery-395e36e8b50840dbe9f754bd87c5098de66e33f81061d9452420dbdb9ee760f1.js	(from https://branch.co.ke/)
00:59:55	234841/234841	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2003%20Dec%202018%2022:47:24%20GMT	https://d2c5ectx2y1vm9.cloudfront.net/assets/web-1ecac8df84a895c68ab4857e3c85ba11b33617ced0f91531a1ee6d2f67a36c0e.js	C:/Users/MWANGI/Desktop/BRANCH/d2c5ectx2y1vm9.cloudfront.net/assets/web-1ecac8df84a895c68ab4857e3c85ba11b33617ced0f91531a1ee6d2f67a36c0e.js	(from https://branch.co.ke/)
00:59:55	53874/53874	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2007%20May%202019%2021:59:53%20GMT	http://connect.facebook.net/en_US/fbevents.js	C:/Users/MWANGI/Desktop/BRANCH/connect.facebook.net/en_US/fbevents.js	(from https://branch.co.ke/)
00:59:56	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2007%20May%202019%2021:59:56%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/MWANGI/Desktop/BRANCH/www.googletagmanager.com/gtm.c5445.delayed	(from https://branch.co.ke/)
00:59:57	11144/11144	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Dec%202018%2021:17:38%20GMT	https://d2c5ectx2y1vm9.cloudfront.net/assets/logo-5a6f97f580a4f616c2d8eaee20ed2326c2bb68596e1aeb1d9b3364a2f1e6ae1b.png	C:/Users/MWANGI/Desktop/BRANCH/d2c5ectx2y1vm9.cloudfront.net/assets/logo-5a6f97f580a4f616c2d8eaee20ed2326c2bb68596e1aeb1d9b3364a2f1e6ae1b.png	(from https://branch.co.ke/)
01:00:00	80620/80620	---MCZ	200	added ('OK')	text/html	etag:W/%2296681f48ed8232a52838725db56963b0%22	https://branch.co.ke/faq	C:/Users/MWANGI/Desktop/BRANCH/branch.co.ke/faq.html	(from https://branch.co.ke/)
01:00:01	186/186	---M-Z	302	error ('Found')	text/html	date:Tue,%2007%20May%202019%2022:00:01%20GMT	https://branch.co.ke/download/home_page	C:/Users/MWANGI/Desktop/BRANCH/branch.co.ke/download/home_page.10.delayed	(from https://branch.co.ke/)
01:00:02	328477/328477	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Dec%202018%2021:17:38%20GMT	https://d2c5ectx2y1vm9.cloudfront.net/assets/index_local/index_local_hero.en_KE-90264b0c1bfe183df18d9a906c1982e2563372e7eda3469d4a722785ca7b633b.jpg	C:/Users/MWANGI/Desktop/BRANCH/d2c5ectx2y1vm9.cloudfront.net/assets/index_local/index_local_hero.en_KE-90264b0c1bfe183df18d9a906c1982e2563372e7eda3469d4a722785ca7b633b.jpg	(from https://branch.co.ke/)
01:00:02	3055/3055	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Dec%202018%2021:17:38%20GMT	https://d2c5ectx2y1vm9.cloudfront.net/assets/index_local/icon_1-15887364164123bc8e61c806dcdd9e5107a2a0f163c77654264f6e304757b7e1.png	C:/Users/MWANGI/Desktop/BRANCH/d2c5ectx2y1vm9.cloudfront.net/assets/index_local/icon_1-15887364164123bc8e61c806dcdd9e5107a2a0f163c77654264f6e304757b7e1.png	(from https://branch.co.ke/)
01:00:03	276198/276198	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Dec%202018%2021:17:38%20GMT	https://d2c5ectx2y1vm9.cloudfront.net/assets/index_local/index_local_hero_sm.en_KE-cd52ff676924f6c2ba14312ab61ba8b50895cef3bf63b8610e3a551df968db95.png	C:/Users/MWANGI/Desktop/BRANCH/d2c5ectx2y1vm9.cloudfront.net/assets/index_local/index_local_hero_sm.en_KE-cd52ff676924f6c2ba14312ab61ba8b50895cef3bf63b8610e3a551df968db95.png	(from https://branch.co.ke/)
01:00:04	2974/2974	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Dec%202018%2021:17:38%20GMT	https://d2c5ectx2y1vm9.cloudfront.net/assets/index_local/icon_2-c525f4e1bdcb00276dd3df59866c435d2fd5dcaa0ee1677e22e0407c35a84d2f.png	C:/Users/MWANGI/Desktop/BRANCH/d2c5ectx2y1vm9.cloudfront.net/assets/index_local/icon_2-c525f4e1bdcb00276dd3df59866c435d2fd5dcaa0ee1677e22e0407c35a84d2f.png	(from https://branch.co.ke/)
01:00:04	3233/3233	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Dec%202018%2021:17:38%20GMT	https://d2c5ectx2y1vm9.cloudfront.net/assets/index_local/icon_3-55aef76e41df59353fa5c12b5afd738c6f83d7272562e61f0144e55d0a2e6fbe.png	C:/Users/MWANGI/Desktop/BRANCH/d2c5ectx2y1vm9.cloudfront.net/assets/index_local/icon_3-55aef76e41df59353fa5c12b5afd738c6f83d7272562e61f0144e55d0a2e6fbe.png	(from https://branch.co.ke/)
01:00:07	1609/1609	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Dec%202018%2021:17:38%20GMT	https://d2c5ectx2y1vm9.cloudfront.net/assets/index_local/caret_left_sm-5d4b0afb2905c398295ca22c0bf42af7f1fad2b4d6cf2703c28038a6316a6a32.png	C:/Users/MWANGI/Desktop/BRANCH/d2c5ectx2y1vm9.cloudfront.net/assets/index_local/caret_left_sm-5d4b0afb2905c398295ca22c0bf42af7f1fad2b4d6cf2703c28038a6316a6a32.png	(from https://branch.co.ke/)
01:00:09	1606/1606	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Dec%202018%2021:17:38%20GMT	https://d2c5ectx2y1vm9.cloudfront.net/assets/index_local/caret_right_sm-dc9377f5b4d545d0e6af659c9071c0a1977e7069dc55c6475d49b946b10bbcf4.png	C:/Users/MWANGI/Desktop/BRANCH/d2c5ectx2y1vm9.cloudfront.net/assets/index_local/caret_right_sm-dc9377f5b4d545d0e6af659c9071c0a1977e7069dc55c6475d49b946b10bbcf4.png	(from https://branch.co.ke/)
01:00:11	1049184/1049184	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Dec%202018%2021:17:38%20GMT	https://d2c5ectx2y1vm9.cloudfront.net/assets/index/plants-84b5b1e89496f73b887b394d0dd079c2849d8b4c70592ce76c5fddb97440788d.png	C:/Users/MWANGI/Desktop/BRANCH/d2c5ectx2y1vm9.cloudfront.net/assets/index/plants-84b5b1e89496f73b887b394d0dd079c2849d8b4c70592ce76c5fddb97440788d.png	(from https://branch.co.ke/)
01:00:11	70100/70100	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Dec%202018%2021:17:38%20GMT	https://d2c5ectx2y1vm9.cloudfront.net/assets/index_local/demo_1-610d0731736f1d8f954964ee083236d304c0c6e53ecc3a6a4ec2185b06d6794b.jpg	C:/Users/MWANGI/Desktop/BRANCH/d2c5ectx2y1vm9.cloudfront.net/assets/index_local/demo_1-610d0731736f1d8f954964ee083236d304c0c6e53ecc3a6a4ec2185b06d6794b.jpg	(from https://branch.co.ke/)
01:00:16	251568/251568	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Dec%202018%2021:17:38%20GMT	https://d2c5ectx2y1vm9.cloudfront.net/assets/index_local/demo_4-46812fa511b26f9b672e2db82d9e36f04ba055da5a7311d51b021af4a683a6fe.jpg	C:/Users/MWANGI/Desktop/BRANCH/d2c5ectx2y1vm9.cloudfront.net/assets/index_local/demo_4-46812fa511b26f9b672e2db82d9e36f04ba055da5a7311d51b021af4a683a6fe.jpg	(from https://branch.co.ke/)
01:00:16	224847/224847	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Dec%202018%2021:17:38%20GMT	https://d2c5ectx2y1vm9.cloudfront.net/assets/index_local/demo_3-6dfc31b5b426c0d8e1511a1f19bbc4c671535cbc5a7442e02ad1fcae98cdfbd7.jpg	C:/Users/MWANGI/Desktop/BRANCH/d2c5ectx2y1vm9.cloudfront.net/assets/index_local/demo_3-6dfc31b5b426c0d8e1511a1f19bbc4c671535cbc5a7442e02ad1fcae98cdfbd7.jpg	(from https://branch.co.ke/)
01:00:16	260572/260572	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Dec%202018%2021:17:38%20GMT	https://d2c5ectx2y1vm9.cloudfront.net/assets/index_local/demo_2-c4fc5abebe876bf4672924c5f3217603cc1f1eacdaf59ada90b673c6f0e4d655.jpg	C:/Users/MWANGI/Desktop/BRANCH/d2c5ectx2y1vm9.cloudfront.net/assets/index_local/demo_2-c4fc5abebe876bf4672924c5f3217603cc1f1eacdaf59ada90b673c6f0e4d655.jpg	(from https://branch.co.ke/)
01:00:17	376/376	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Dec%202018%2021:17:38%20GMT	https://d2c5ectx2y1vm9.cloudfront.net/assets/index_local/caret_left-2e4ad8a453f1a06f7d5180743087c93d00be9e3e0ef70875cd09919b674d749c.png	C:/Users/MWANGI/Desktop/BRANCH/d2c5ectx2y1vm9.cloudfront.net/assets/index_local/caret_left-2e4ad8a453f1a06f7d5180743087c93d00be9e3e0ef70875cd09919b674d749c.png	(from https://branch.co.ke/)
01:00:18	360/360	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Dec%202018%2021:17:38%20GMT	https://d2c5ectx2y1vm9.cloudfront.net/assets/index_local/caret_right-46cc27c3f394c834311174eda486ecb35cdd85a736e8bec086d156c49fa8ab70.png	C:/Users/MWANGI/Desktop/BRANCH/d2c5ectx2y1vm9.cloudfront.net/assets/index_local/caret_right-46cc27c3f394c834311174eda486ecb35cdd85a736e8bec086d156c49fa8ab70.png	(from https://branch.co.ke/)
01:00:19	168/168	---M-Z	302	error ('Found')	text/html	date:Tue,%2007%20May%202019%2022:00:19%20GMT	https://branch.co.ke/download	C:/Users/MWANGI/Desktop/BRANCH/branch.co.ke/download.1e.delayed	(from https://branch.co.ke/)
01:00:20	24821/24821	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Dec%202018%2021:17:38%20GMT	https://d2c5ectx2y1vm9.cloudfront.net/assets/index/tile_1-d0a756caa32a2c72477339cd078cb26c8780624bb68691eb190283d1b6cf92f2.jpg	C:/Users/MWANGI/Desktop/BRANCH/d2c5ectx2y1vm9.cloudfront.net/assets/index/tile_1-d0a756caa32a2c72477339cd078cb26c8780624bb68691eb190283d1b6cf92f2.jpg	(from https://branch.co.ke/)
01:00:21	0/-1	---M--	302	error ('')			https://branch.co.ke/download/home_page	C:/Users/MWANGI/Desktop/BRANCH/branch.co.ke/download/home_page.22.delayed	(from https://branch.co.ke/)
01:00:21	0/-1	---M--	302	error ('')			https://branch.co.ke/download/home_page	C:/Users/MWANGI/Desktop/BRANCH/branch.co.ke/download/home_page.23.delayed	(from https://branch.co.ke/)
01:00:21	98139/98139	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Dec%202018%2021:17:38%20GMT	https://d2c5ectx2y1vm9.cloudfront.net/assets/index/tile_2-f9be1f3f20f475d9820adcd87f25f4bd367c3b863ddeb0ff957c01eb42a8ef9f.jpg	C:/Users/MWANGI/Desktop/BRANCH/d2c5ectx2y1vm9.cloudfront.net/assets/index/tile_2-f9be1f3f20f475d9820adcd87f25f4bd367c3b863ddeb0ff957c01eb42a8ef9f.jpg	(from https://branch.co.ke/)
01:00:24	52940/52940	---MCZ	200	added ('OK')	text/html	etag:W/%2201f1508485531d28bf72b2c96a4b9b12%22	https://branch.co.ke/tou/ke	C:/Users/MWANGI/Desktop/BRANCH/branch.co.ke/tou/ke.html	(from https://branch.co.ke/)
01:00:24	233096/233096	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Dec%202018%2021:17:38%20GMT	https://d2c5ectx2y1vm9.cloudfront.net/assets/index_local/tile_3-ce862eb39743c92525d6ee088e2b1e00a89a4efd9cffff48157fdb45794355be.jpg	C:/Users/MWANGI/Desktop/BRANCH/d2c5ectx2y1vm9.cloudfront.net/assets/index_local/tile_3-ce862eb39743c92525d6ee088e2b1e00a89a4efd9cffff48157fdb45794355be.jpg	(from https://branch.co.ke/)
01:00:27	23412/23412	---MCZ	200	added ('OK')	text/html	etag:W/%22bbfd2fbe82bfb9bbb2a1a2c10ebfdc95%22	https://branch.co.ke/pp	C:/Users/MWANGI/Desktop/BRANCH/branch.co.ke/pp.html	(from https://branch.co.ke/)
01:00:28	728/728	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2007%20May%202019%2022:00:28%20GMT	https://branch.co.ke/POST	C:/Users/MWANGI/Desktop/BRANCH/branch.co.ke/POST.26.delayed	(from http://connect.facebook.net/en_US/fbevents.js)
01:00:29	1617/1617	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Dec%202018%2021:17:38%20GMT	https://d2c5ectx2y1vm9.cloudfront.net/assets/faq/icon_plus-8d850a1033d28f1a30cc5cd1a25885430fccaa27f9a5d34b4440876a182e3a66.png	C:/Users/MWANGI/Desktop/BRANCH/d2c5ectx2y1vm9.cloudfront.net/assets/faq/icon_plus-8d850a1033d28f1a30cc5cd1a25885430fccaa27f9a5d34b4440876a182e3a66.png	(from https://branch.co.ke/faq)
01:00:30	1545/1545	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Dec%202018%2021:17:38%20GMT	https://d2c5ectx2y1vm9.cloudfront.net/assets/faq/icon_minus-2aa591d97612f8d08576f5463048dee3a8b668211f2fe2442768200d61d239e4.png	C:/Users/MWANGI/Desktop/BRANCH/d2c5ectx2y1vm9.cloudfront.net/assets/faq/icon_minus-2aa591d97612f8d08576f5463048dee3a8b668211f2fe2442768200d61d239e4.png	(from https://branch.co.ke/faq)
01:00:30	0/-1	---M--	302	error ('')			https://branch.co.ke/download/home_page	C:/Users/MWANGI/Desktop/BRANCH/branch.co.ke/download/home_page.29.delayed	(from https://branch.co.ke/faq)
01:00:32	0/-1	---M--	302	error ('')			https://branch.co.ke/download/home_page	C:/Users/MWANGI/Desktop/BRANCH/branch.co.ke/download/home_page.2b.delayed	(from https://branch.co.ke/tou/ke)
01:00:33	0/-1	---M--	302	error ('')			https://branch.co.ke/download/home_page	C:/Users/MWANGI/Desktop/BRANCH/branch.co.ke/download/home_page.2c.delayed	(from https://branch.co.ke/pp)
01:00:35	52940/52940	---MCZ	200	added ('OK')	text/html	etag:W/%225289b98550d4ec69f2ddbe68ae6ac5e4%22	https://branch.co.ke/tou	C:/Users/MWANGI/Desktop/BRANCH/branch.co.ke/tou.html	(from https://branch.co.ke/tou/ke)
01:00:35	0/-1	---M--	302	error ('')			https://branch.co.ke/download/home_page	C:/Users/MWANGI/Desktop/BRANCH/branch.co.ke/download/home_page.2d.delayed	(from https://branch.co.ke/tou)
